League,Team,Main Formation,Goals scored,Goals Conceded,Goal Differential,League Placement,Shot on Target,Possesion Time %,Pass completion %,Number of Takeaways,Squad value 
Premier League,Arsenal,4-3-3,88,43,45,2,194,60,83.2,805,1000
Premier League,Aston Villa ,2-4-3-1,51,46,5,7,145,54,79.2,957,509.55
Premier League,Bournemouth,4-4-2,37,71,-34,15,126,40.4,76.2,971,287.2
Premier League,Brentford,3-5-2,58,46,12,9,147,48,72.8,928,371.2
Premier League,Brighton,4-2-3-1,72,53,19,6,219,53.7,83.9,919,529.83
Premier League,Chelsea,3-4-3,38,47,-9,12,151,61,83.8,1081,994.95
Premier League,Crystal Palace,4-2-3-1,40,49,-9,11,133,43,77.4,1049,323.05
Premier League,Everton,4-3-3,34,57,-23,17,143,40,74.7,1098,413.15
Premier League,Fulham,4-2-3-1,55,53,2,10,137,49,77.6,963,295.25
Premier League,Leeds United,4-2-3-1,48,78,-30,19,141,56.4,73.5,1232,345.15
Premier League,Leicester City,4-2-3-1,51,68,-17,18,142,63,78.9,1067,490.8
Premier League,Liverpool,4-3-3,75,47,28,5,203,59,82.3,923,811.85
Premier League,Manchester City,3-2-4-1,94,33,61,1,205,63.6,87.3,694,1001.5
Premier League,Manchester United,4-2-3-1,58,43,15,3,206,57.3,80.9,1010,848
Premier League,Newcastle United,4-3- 3,68,33,35,4,184,53,78.1,940,541.6
Premier League,Nott'ham Forest,3-4-1-2,38,68,-30,16,111,39,70.1,1008,376.25
Premier League,Southampton,4-2-3-1,36,73,-37,20,132,64,75.2,1141,419.95
Premier League,Tottenham,4-2-3-1,70,63,7,8,186,49.8,81.2,959,649.1
Premier League,West Ham ,4-2-3-1,42,55,-13,14,133,42,75.6,1015,465.75
Premier League,Wolves,3-4-3,31,58,-27,13,119,48,79.6,940,497.65
,,,,,,,,,,,
Bundesliga,FC Augsburg,3-4-2-1,42,63,-21,15,101,44,66.1,808,132.28
Bundesliga,Hertha BSC,4-2-3-1,42,69,-27,18,121,43,69.3,942,94.00
Bundesliga,Union Berlin,3-4-1-2,51,38,13,4,113,45,71.5,756,157.95
Bundesliga,VfL Bochum, 4-2-3-1,40,72,-32,14,127,46,68,963,53.3
Bundesliga,Werder Bremen,3-1-4-2,51,64,-13,13,136,48,75.2,916,89.5
Bundesliga,Borussia Dortmund,4-2-3-1,83,44,39,2,219,56,82.7,878,567.55
Bundesliga,Eintracht Frankfurt,3-4-2-1,58,52,6,7,132,50,77.5,846,324.54
Bundesliga,SC Freiburg, 4-2-3-1,51,44,7,5,167,49,75,823,200.95
Bundesliga,1899 Hoffenheim,3-4-1-2,48,57,-9,12,130,49,75.5,828,178.8
Bundesliga,FC Köln,4-2-3-1 ,49,54,-5,11,146,50,74.8,987,115.65
Bundesliga,RB Leipzig,3-4-1-2,64,41,23,3,182,56,82.4,844,486.5
Bundesliga,Bayer Leverkusen,4-2-3-1,57,49,8,6,160,50,80.6,788,452.55
Bundesliga,Mainz 05,3-4-1-2,54,55,-1,9,152,44,69.5,980,135.8
Bundesliga,Borussia Mönchengladbach,4-2-3-1,52,55,-3,10,166,52,82.3,764,241.68
Bundesliga,Bayern Munich,4-2-3-1 ,92,38,54,1,251,61,85.4,910,948.95
Bundesliga,Schalke 04, 4-2-3-1,35,71,-36,17,123,45,69.1,848,87.78
Bundesliga,VfB Stuttgart,4-3-3,45,57,-12,16,140,50,79.2,836,151.05
Bundesliga,VfL Wolfsburg,4-3-3,57,48,9,8,138,50,77.9,835,238.3
,,,,,,,,,,,
La Liga,Athletic Club,4-2-3-1,47,43,4,8,157,51,77.5,918,222.45
La Liga,Atletico Madrid,3-1-4-2,70,33,37,3,195,51,82.1,971,534.3
La Liga,Ca Osasuna,4-2-3-1,37,42,-5,7,133,48,75.6,849,150.05
La Liga,Cadiz CF,4-4-2,30,53,-23,14,108,41,71.2,893,65.6
La Liga,Elche CF,5-3-2,30,67,-37,20,124,45,76.5,956,67.5
La Liga,FC Barcelona,4-3-3,70,20,50,1,187,64,86.1,775,836.8
La Liga,Getafe CF,5-3-2,34,45,-11,15,116,39,68.6,861,118.9
La Liga,Girona FC,3-4-1-2,58,55,3,10,160,51,81.4,817,139.9
La Liga,Roya Vallecano,4-2-3-1,45,53,-8,11,146,49,76.4,945,103.4
La Liga,RC Celta Vigo,4-1-4-1,43,53,-10,13,160,50,79.5,1032,139.1
La Liga,RCD Espanyol Barcelona,4-2-3-1,52,69,-17,19,151,43,73.7,990,116.35
La Liga,RCD Mallorca,5-2-1-2,37,43,-6,9,107,41,73.3,901,107
La Liga,Real Betis,4-2-3-1,46,41,5,6,138,51,80.4,1029,246.4
La Liga,Real Madrid,4-3-3,75,36,39,2,206,61,88.3,838,923.45
La Liga,Real Socidad,4-2-3-1,51,35,16,4,173,54,80.1,931,441.7
La Liga,Sevilla FC,4-3-3,47,54,-7,12,141,53,80.1,926,232.58
La Liga,UD Almeria,4-2-3-1,49,65,-16,17,155,45,76.6,879,114.2
La Liga,Valladolid,4-3-3,33,63,-30,18,137,49,76.9,1016,90.75
La Liga,Valencia CF,4-4-1-1,42,45,-3,16,141,52,77.7,966,249.78
La Liga,Villarreal CF,4-3-3,59,40,19,5,188,57,83.7,840,363.5
,,,,,,,,,,,
Serie A,Atalanta,4-2-1-2,66,48,18,5,168,56.34,79.3,1057,338.38
Serie A,Bologna,4-2-3-1,53,49,4,9,150,53,81.6,950,153.63
Serie A,Cremonese,3-4-1-2,36,69,-33,19,122,44,72.3,1097,83.78
Serie A,Empoli,4-3-3,37,49,-12,14,129,44,78.3,886,125.53
Serie A,Fiorentina,4-2-3-1,53,43,10,8,171,57,79.9,841,258.8
Serie A,Hellas Verona,3-5-2,31,59,-28,17,116,45,68.7,942,123.89
Serie A,Inter Milan,3-5-2,71,42,29,3,197,54,83.1,887,567.55
Serie A,Juventus,3-5-1-1,56,33,23,7,171,54,81.5,901,483.13
Serie A,Lazio,4-3-3,60,30,30,2,161,51,83.8,892,266.43
Serie A,Lecce,4-3-3,33,46,-13,16,106,42.3,70.2,1073,105.2
Serie A,AC Milan,4-2-3-1,64,43,21,4,178,57,80.8,979,545.1
Serie A,Monza,3-4-2-1,48,52,-4,11,139,56.8,83,929,135.7
Serie A,Napoli,4-1-2-3,77,28,49,1,212,59,86.2,856,654.08
Serie A,Roma,3-4-2-1,50,38,12,6,155,53.4,79.5,992,361.38
Serie A,Salernitana,3-4-2-1,48,62,-14,15,115,48.48,76.7,916,118.35
Serie A,Sampdoria,4-3-3,24,71,-47,20,114,49.02,76.1,906,82.96
Serie A,Sassuolo,4-2-3-1,47,61,-14,13,161,60,80.9,780,232.2
Serie A,Spezia,3-4-1-2,31,62,-31,18,120,56,75.1,923,115.81
Serie A,Torino,3-4-2-1,42,41,1,10,146,51,79.5,765,197.19
Serie A,Udinese,3-5-2,47,48,-1,12,145,57,79.8,965,188.86
,,,,,,,,,,,
Ligue 1,Brest,4-2-3-1,44,54,-10,14,132,45.38,75.9,1180,76.65
Ligue 1,Clermont,3-5-2,45,49,-4,8,139,48.45,79.1,1125,48
Ligue 1,Auxerre,4-2-3-1,35,63,-28,17,117,42,77.5,1128,54.8
Ligue 1,Lens,3-4-3,68,29,39,2,177,55.32,84,879,238.20
Ligue 1,Lille,4-2-3-1,65,44,21,5,201,60.3,84.4,936,247.95
Ligue 1,Lorient,3-4-2-1,52,53,-1,10,149,47.2,82,936,175.45
Ligue 1,Lyon,4-2-3-1,65,47,18,7,199,59.47,83.5,1204,350.95
Ligue 1,Marseille,4-4-2,67,40,27,3,173,56.81,81.3,1105,331.55
Ligue 1,Ajaccio,4-4-2,23,74,-51,18,81,41.8,73.4,1057,27
Ligue 1,AS Monaco,3-4-2-1,70,58,12,6,199,47.2,78.4,1122,368.3
Ligue 1,Montpellier,4-2-3-1,65,62,3,12,165,44,76.6,1088,142.9
Ligue 1,Nantes,3-4-2-1,37,55,-18,16,151,49.8,77.4,1140,119.28
Ligue 1,Nice,4-3-3,48,37,11,9,187,53,83.4,1231,310.8
Ligue 1,Paris Saint-Germain,3-5-2,89,40,49,1,242,70.3,89.5,908,891.25
Ligue 1,Reims,4-2-3-1,45,45,0,11,165,50,77.8,1100,159.05
Ligue 1,Rennes,4-4-2,69,39,30,4,189,55,83.1,941,387.75
Ligue 1,Strasbourg,3-5-2,51,59,-8,15,150,65,77.2,1127,123.55
Ligue 1,Toulouse,4-3-3,51,57,-6,13,171,48,80,1125,104.8
Ligue 1,Troyes,3-4-2-1,45,81,-36,19,130,42.18,78.7,1006,76.3
Ligue 1,Angers,5-3-2,33,81,-48,20,121,47.77,80.8,1027,71.8